Sample,Peptoniphilaceae,Enterococcaceae,Actinomycetaceae,Bifidobacteriaceae,Enterobacteriaceae,Streptococcaceae,Clostridiaceae,Staphylococcaceae,Veillonellaceae,Morganellaceae,Pseudomonadaceae,Peptostreptococcaceae,Erysipelotrichaceae,Alcaligenaceae,Dermabacteraceae
GF20_d0_inoc,36.41927,34.77182,13.35631,6.23767,4.53442,2.47017,1.57718,0.37415,0.25901,0,0,0,0,0,0
GF20_d161_b6,0,0,0,0.05118,99.94882,0,0,0,0,0,0,0,0,0,0
GF20_d35_a3,0,0,0,0,75.0721,0,0,0,0,24.68436,0.24354,0,0,0,0
GF23_d19_dama,0.43937,4.32707,5.03338,0.47033,4.3,0,59.98579,0,0,2.80462,0,15.08686,7.55259,0,0
GF23_d35_c1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF23_d47_dama,0.21676,5.00091,50.32305,3.68239,13.18747,0,14.54251,0,0,7.38367,0,2.56214,3.1011,0,0
GF23_d47_damc,0.98178,12.68241,32.19154,2.91932,15.73811,0,8.37576,0,0,8.1858,0,3.48915,15.43613,0,0
GF23_d52_a1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF23_d52_a6,0,0.09027,0,0,99.61556,0,0,0,0,0.29416,0,0,0,0,0
GF23_d56_c2,0,0.44933,0,0,99.55067,0,0,0,0,0,0,0,0,0,0
GF23_d57_c4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF23_d57_c5,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF23_damA_32_stool,0.00817,6.66451,46.85998,0.98403,19.56603,0,10.89855,0,0,8.02356,0,1.58928,5.40589,0,0
GF23_damC_10_stool,0.29257,3.85513,0,37.25817,2.47665,0,27.65855,0,0,4.55674,0,20.19753,3.70466,0,0
GF23_damC_32_stool,0.11474,4.03709,55.23432,1.92523,16.25215,0,9.50382,0,0,5.75696,0,2.37857,4.79713,0,0
GF24_A10_d131_cwash,0,0,0,0,88.24783,0,0.9635,0,0,0,0,0.16791,2.08378,8.53697,0
GF24_A1_36_stool,0,1.02098,0,0,98.28618,0,0.60212,0,0,0,0,0.09073,0,0,0
GF24_A1_39_cwash,0,0,0,0,75.44464,0,18.84996,0,0,0,0,0.94453,4.76087,0,0
GF24_A1_d108_cwash,0,0,0,0,89.28446,0,0,0,0,0,0,0,0.4353,10.28024,0
GF24_A1_d131_cwash,0,0,0,0,97.3517,0,0.58344,0,0,0,0,0,0,2.06486,0
GF24_A1_d73_stool,0,1.66532,0,0,98.07763,0,0,0,0,0,0,0.25705,0,0,0
GF24_A1_d74_cwash,0,1.27674,0,0,91.09251,0,5.80864,0,0,0,0,0.7034,0.3969,0.72182,0
GF24_A2_36_stool,0,3.12937,0,0,92.2297,0,2.11395,0,0,0.89383,0,1.63314,0,0,0
GF24_A2_39_cwash,0,0.40511,0,0,35.23547,0,42.54257,0,0,0,0,4.59068,17.22617,0,0
GF24_A2_d108_cwash,0,0.87623,0,0,76.46441,0,2.48584,0,0,0,0,0.55795,0.97106,18.64452,0
GF24_A2_d131_cwash,0,0.39337,0,0,95.63788,0,0,0,0,0,0,0,0,3.96875,0
GF24_A2_d73_stool,0,1.24658,0,0,98.62288,0,0,0,0,0,0,0.13054,0,0,0
GF24_A3_37_stool,0,0.65955,0,0,99.34045,0,0,0,0,0,0,0,0,0,0
GF24_A3_38_stool,0.07579,2.44983,0,0,96.27519,0,0.28434,0,0,0,0,0.91485,0,0,0
GF24_A3_39_cwash,0,0,0,0,57.47634,0,23.33109,0,0,0,0,0.08189,19.11068,0,0
GF24_A3_d108_cwash,0,0.28492,0,0,85.45194,0,10.44087,0,0,0,0,1.36142,0.93959,1.52126,0
GF24_A3_d131_cwash,0,0,0,0,91.90315,0,5.40634,0,0,0,0,0,1.34389,1.34662,0
GF24_A4_38_stool,0.63703,1.34371,0,0,47.81437,0,39.84593,0,0,0.00811,0,3.90359,6.44724,0,0
GF24_A4_39_cwash,0,2.58502,0,0,19.92799,0,59.81052,0,0,0,0,7.4607,10.21578,0,0
GF24_A4_d108_cwash,0,0,0,0,86.4956,0,5.96435,0,0,0,0,0,0,7.54005,0
GF24_A4_d131_cwash,0,2.44073,0,0,91.95874,0,2.78975,0,0,0,0,0.01349,0,2.79728,0
GF24_A4_d74_cwash,0,2.14616,0,0,86.70327,0,0.70412,0,0,0,0,0,0,10.44646,0
GF24_A5_d108_cwash,0,0.28981,0,0,88.21968,0,8.6685,0,0,0,0,0.51196,0.85849,1.45155,0
GF24_A5_d131_cwash,0,2.14237,0,0,85.1713,0,0,0,0,11.6068,0,0.72201,0,0.35751,0
GF24_A5_d74_cwash,0,0.30118,0,0,85.60749,0,7.66008,0,0,1.6214,0,1.06605,3.65708,0.08672,0
GF24_A6_36_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF24_A6_39_cwash,0,1.36928,0,0,32.67839,0,46.18992,0,0,0,0,12.66939,7.09301,0,0
GF24_A6_d108_cwash,0,0,0,0,98.73138,0,0.16753,0,0,0,0,0,0,1.10109,0
GF24_A6_d131_cwash,0,0,0,0,85.83034,0,10.87601,0,0,0,0,0,2.36883,0.92482,0
GF24_A6_d74_cwash,0,0,0,0,96.8885,0,0,0,0,1.45475,0,0,0,1.65675,0
GF24_A7_36_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF24_A7_37_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF24_A7_39_cwash,0,1.9739,0,0,42.20771,0,35.27437,0,0,0,0,12.09772,8.4463,0,0
GF24_A7_d108_cwash,0,0.02807,0,0,88.38242,0,1.20289,0,0,6.23287,0,0.12484,2.38316,1.64576,0
GF24_A7_d131_cwash,0,0,0,0,88.38884,0,0.986,0,0,0,0,0,0,10.62517,0
GF24_A7_d74_cwash,0,0,0,0,97.51367,0,0,0,0,2.12588,0,0,0,0.36045,0
GF24_A8_d108_cwash,0,0,0,0,92.99341,0,0,0,0,0,0,0,0,7.00659,0
GF24_A8_d131_cwash,0,0,0,0,90.52903,0,0,0,0,0,0,0,0,9.47097,0
GF24_A9_d108_cwash,0,2.19589,0,0,96.30511,0,0.65044,0,0,0,0,0.79992,0,0.04864,0
GF24_A9_d131_cwash,0,0.41796,0,0,98.95977,0,0.01559,0,0,0,0,0.03211,0,0.57456,0
GF24_Adam_d100_stool,2.92344,14.36591,10.66965,0,29.73491,0,22.92362,0,0,9.51886,0,2.89595,6.96767,0,0
GF24_B1_33_cwash,0,0,0,0,73.67745,0,13.34926,0,0,0,0,0,12.97329,0,0
GF24_B1_64_cwash,0,3.32586,0,0,35.40339,0,27.80806,0,0,4.16312,0,22.3587,6.94088,0,0
GF24_B2_33_cwash,0,0.10538,0,0,67.3625,0,18.68918,0,0,6.15116,0,2.1883,5.50348,0,0
GF24_B2_64_cwash,0,3.61477,0,0,24.02561,0,31.74138,0,0,4.75078,0,23.94761,11.91985,0,0
GF24_B2_d74_cwash,0,2.82407,0,0,88.02068,0,7.16419,0,0,0,0,1.66138,0,0.32969,0
GF24_B3_33_cwash,0,0.41171,0,0,59.39177,0,18.80378,0,0,13.13572,0,1.69707,6.55996,0,0
GF24_B3_64_cwash,0,1.5001,0,0,22.00313,0,34.40679,0,0,2.34473,0,24.75597,14.98928,0,0
GF24_B3_d74_cwash,0,0.477,0,0,98.91517,0,0.21867,0,0,0,0,0,0.38916,0,0
GF24_B4_33_cwash,0,1.22202,0,0,70.36886,0,17.25512,0,0,5.59344,0,1.06464,4.49591,0,0
GF24_B4_d73_stool,0,0.4387,0,0,99.5613,0,0,0,0,0,0,0,0,0,0
GF24_B4_d74_cwash,0,0.5879,0,0,93.20183,0,4.76904,0,0,0,0,0.54045,0.86179,0.03898,0
GF24_B5_33_cwash,0,0,0,0,67.23931,0,13.89093,0,0,0,0,0,18.86976,0,0
GF24_B6_33_cwash,0,0.51822,0,0,76.43131,0,3.79947,0,0,0,0,0.07519,19.17581,0,0
GF24_B7_33_cwash,0,0,0,0,58.00116,0,12.4975,0,0,2.30438,0,0.65417,26.54279,0,0
GF24_Bdam_d114_stool,1.44612,18.05856,0,0,26.48687,0,36.98817,0,0,6.36765,0,1.59739,9.05524,0,0
GF24_C10_d86_cwash,0,1.44544,0,0,87.1993,0,8.89789,0,0,0,0,0.67951,1.40888,0.36899,0
GF24_C1_37_stool,0,1.70999,0,0,96.28582,0,0.57811,0,0,0,0,1.42608,0,0,0
GF24_C1_39_cwash,0,91.71634,0,0,5.60992,0,0,0,0,0,0,0,2.67374,0,0
GF24_C1_d108_cwash,0,0,0,0,93.72884,0,0,0,0,0,0,0,0,6.27116,0
GF24_C1_d129_cwash,0,0.12746,0,0,98.23737,0,0.16442,0,0,0,0,0.10692,0.02572,1.3381,0
GF24_C2_39_cwash,0,69.26263,0,0,5.68121,0,0,0,0,0,0,16.47843,8.57773,0,0
GF24_C2_d108_cwash,0,0.86403,0,0,84.2684,0,7.18368,0,0,0,0,0.45061,6.40381,0.82947,0
GF24_C2_d129_cwash,0,0,0,0,95.66632,0,0,0,0,0,0,0,0,4.33368,0
GF24_C2_d86_cwash,0,1.8642,0,0,91.11717,0,3.73471,0,0,0,0,1.07243,2.08909,0.1224,0
GF24_C3_37_stool,0,2.39829,0,0,96.63909,0,0.38191,0,0,0,0,0.58072,0,0,0
GF24_C3_38_cwash,0,90.05915,0,0,9.94085,0,0,0,0,0,0,0,0,0,0
GF24_C3_d108_cwash,0,0,0,0,99.38236,0,0,0,0,0,0,0,0,0.61764,0
GF24_C3_d129_cwash,0,0,0,0,91.14841,0,2.31147,0,0,0,0,0.16038,0.40071,5.97903,0
GF24_C3_d85_stool,0,0.64769,0,0,98.7291,0,0.04312,0,0,0,0,0.58008,0,0,0
GF24_C3_d86_cwash,0,4.22075,0,0,80.11221,0,12.59593,0,0,0,0,1.45308,0.74238,0.87563,0
GF24_C4_37_stool,0,3.39349,0,0,88.71129,0,5.3666,0,0,0,0,2.52862,0,0,0
GF24_C4_38_cwash,0,80.81278,0,0,3.56893,0,0,0,0,0,0,12.17629,3.44199,0,0
GF24_C4_38_stool,0,0,0,0,28.30576,0,0,0,0,0,0,0,71.69424,0,0
GF24_C4_d108_cwash,0,0,0,0,90.9051,0,1.13126,0,0,0,0,0,0.29337,7.67027,0
GF24_C4_d129_cwash,0,1.1517,0,0,93.68476,0,1.09939,0,0,2.46784,0,0.15415,0,1.44216,0
GF24_C4_d86_cwash,0,5.44855,0,0,88.93862,0,0.38348,0,0,0,0,0.06307,0.99128,4.175,0
GF24_C5_36_stool,0,0.84695,0,0,99.15305,0,0,0,0,0,0,0,0,0,0
GF24_C5_38_stool,0,81.5583,0,0,0,0,0,0,0,0,0,0,18.4417,0,0
GF24_C5_d108_cwash,0,0.13626,0,0,94.0119,0,0,0,0,0,0,0,0,5.85184,0
GF24_C5_d129_cwash,0,0.093,0,0,95.28282,0,2.23667,0,0,1.06939,0,0.40503,0,0.91308,0
GF24_C5_d85_stool,0,0.8457,0,0,98.76096,0,0.22112,0,0,0,0,0.12435,0,0.04787,0
GF24_C5_d86_cwash,0,0,0,0,77.64129,0,0,0,0,0,0,0,3.30096,19.05775,0
GF24_C6_36_stool,0,4.17908,0,0,93.70801,0,0.36595,0,0,0,0,1.74696,0,0,0
GF24_C6_37_stool,0,4.91908,0,0,89.26752,0,4.27455,0,0,0,0,1.53885,0,0,0
GF24_C6_38_stool,0,97.36824,0,0,1.58053,0,0,0,0,0,0,0,1.05123,0,0
GF24_C6_d108_cwash,0,0.22189,0,0,90.97225,0,6.45476,0,0,0,0,1.31306,0.69186,0.34618,0
GF24_C6_d129_cwash,0,0.23983,0,0,93.10344,0,1.22185,0,0,0,0,0,0,5.43488,0
GF24_C6_d85_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF24_C6_d86_cwash,0,0.70037,0,0,89.02763,0,5.42031,0,0,0,0,0,4.85169,0,0
GF24_C7_d108_cwash,0,0,0,0,90.21535,0,0,0,0,0,0,0,0,9.78465,0
GF24_C7_d129_cwash,0,0,0,0,97.34876,0,0.87242,0,0,0,0,0.35553,0,1.42329,0
GF24_C7_d85_stool,0,1.21395,0,0,97.81491,0,0.35624,0,0,0,0,0.61491,0,0,0
GF24_C7_d86_cwash,0,6.75369,0,0,85.34742,0,4.74847,0,0,0,0,0.38985,2.51154,0.24903,0
GF24_C8_d108_cwash,0,0.15403,0,0,98.20558,0,0.0381,0,0,0,0,0.02829,0,1.574,0
GF24_C8_d85_stool,0,3.0528,0,0,96.9472,0,0,0,0,0,0,0,0,0,0
GF24_C8_d86_cwash,0,1.62731,0,0,84.25248,0,8.48524,0,0,0.33095,0,2.08249,3.01807,0.20345,0
GF24_C9_d108_cwash,0,0.40003,0,0,82.08981,0,4.04313,0,0,0,0,0,8.08546,5.38156,0
GF24_C9_d85_stool,0,1.66079,0,0,97.12639,0,0.05974,0,0,0.08277,0,1.07031,0,0,0
GF24_C9_d86_cwash,0,3.74869,0,0,77.99924,0,10.37034,0,0,0,0,1.17872,5.87031,0.83271,0
GF24_Cdam_d108_stool,0,12.76876,14.28209,0,19.65841,0,27.8988,0,0,3.42095,0,3.36885,18.60214,0,0
GF24_damA_18_stool,0.19872,17.73209,24.07472,0,23.66031,0,23.54837,0,0,2.23089,0,1.95433,6.60057,0,0
GF24_damA_3_stool,0,7.59921,0,0,39.21411,0,19.12241,0,0,8.71908,0,7.37651,17.96868,0,0
GF24_damA_8_stool,1.32385,8.91771,9.39399,0,33.08593,0,13.40349,0,0,7.08664,0,7.6229,19.16549,0,0
GF24_damB_3_stool,0,2.77366,0,0,10.11573,0,67.51946,0,0,4.4086,0,10.32229,4.86025,0,0
GF24_damB_8_stool,0,11.09428,19.66932,0,23.99803,0,13.98204,0,0,2.7619,0,0.28971,28.20472,0,0
GF24_damC_30_stool,0.03711,3.42561,39.39149,0,41.54332,0,6.90888,0,0,1.39748,0,1.16753,6.12858,0,0
GF24_damC_3_stool,0,4.12662,0,0,13.33624,0,54.12389,0,0,8.59389,0,11.29807,8.52129,0,0
GF24_damC_51_stool,0,25.71135,0,0,15.53538,0,26.51764,0,0,4.91077,0,8.36784,18.95702,0,0
GF24_Inoc_0,0,7.01883,0.04989,0,70.80956,0.27815,7.28996,0,9.03552,0.2995,0,3.0071,2.21149,0,0
GF26_A1_d101_cwash,0,0,0,0,99.41658,0,0,0,0,0,0,0,0,0.58342,0
GF26_A1_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
GF26_A2_d101_cwash,0,0,0,0,99.49702,0,0,0,0,0,0,0,0,0.50298,0
GF26_A2_d149_cwash,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF26_A3_d101_cwash,0,0,0,0,99.67376,0,0,0,0,0,0,0,0,0.32624,0
GF26_A3_d149_cwash,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF26_A4_d101_cwash,0,0,0,0,99.90338,0,0,0,0,0,0,0,0,0.09662,0
GF26_A4_d146_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF26_A4_d147_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF26_A4_d148_stool,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
GF26_A4_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
GF26_A5_d101_cwash,0,0,0,0,99.78987,0,0,0,0,0,0,0,0,0.21013,0
GF26_A7_d65_cwash,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
GF26_A9_d149_cwash,0,0,0,0,98.66572,0,0,0,0,0,0,0,0,1.33428,0
GF26_Adam_d148_stool,0,0,0,0,99.45252,0,0,0,0,0,0,0,0,0,0.54748
GF26_Adam_d98_stool,0,0,0,0,97.80874,0,0,0,0,0,0,0,0,0.0569,2.13436
GF26_Bdam_d133_stool,0,0,0,0,97.72492,0,0,0,0,0,0,0,0,0,2.27508
GF26_Bdam_d85_stool,0,0,0,0,98.47436,0,0,0,0,0,0,0,0,0,1.52564
GF26_Bdam_d91_stool,0,0,0,0,97.16895,0,0,0,0,0,0,0,0,0,2.83105
