feature	Klebsiella	Escherichia	Enterococcus	Clostridium	Clostridioides	Veillonella	Citrobacter	Finegoldia	Bifidobacterium	Morganella	Dysgonomonas	Collinsella
GF11_B2_d73	0.7048426	NA	NA	NA	NA	NA	0.2951574	NA	NA	NA	NA	NA
GF11_B4_d72	NA	NA	NA	NA	NA	NA	0.9981081	NA	0.0018919	NA	NA	NA
GF11_B4_d73	0.1969273	NA	NA	NA	NA	NA	0.8030727	NA	NA	NA	NA	NA
GF11_C2_d72	NA	NA	0.0321062	NA	NA	NA	0.9652259	NA	0.0026679	NA	NA	NA
GF11_C5_d72	NA	NA	0.2175682	NA	NA	NA	0.7738586	NA	0.0085732	NA	NA	NA
GF11_C6_d72	0.00173249982675002	NA	0.0226373977362602	NA	0.00592429940757006	NA	0.9511380048862	NA	0.0185677981432202	NA	NA	NA
GF11_C7_d72_colon	NA	NA	NA	NA	NA	NA	0.9755676	NA	0.0244324	NA	NA	NA
GF20_d140_c8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF20_d34_a2	NA	0.7514568	NA	NA	NA	NA	NA	NA	NA	0.2485432	NA	NA
GF20_d34_a4	NA	0.0468755953124405	0.0179182982081702	0.00473229952677005	0.00597569940243006	NA	0.617649738235026	NA	0.0112182988781701	0.295630070436993	NA	NA
GF20_d34_b3	NA	0.0563629	0.0099942	NA	0.0012113	NA	0.9229347	NA	0.0094969	NA	NA	NA
GF20_d35_a2	NA	0.995915	NA	NA	NA	NA	NA	NA	0.002797	0.001288	NA	NA
GF20_d35_a3	NA	0.6887012	NA	NA	NA	NA	0.0620198	NA	NA	0.2468436	NA	NA
GF20_d89_b2	0.0667898066789807	0.338369733836973	0.0938450093845009	0.452615245261525	0.0172936017293602	NA	NA	NA	NA	0.0310866031086603	NA	NA
GF20_d89_b6	0.9862792	NA	NA	0.0137208	NA	NA	NA	NA	NA	NA	NA	NA
GF4_B1_D36	NA	0.1240086	0.8678923	0.0021018	NA	NA	NA	NA	0.0059973	NA	NA	NA
GF4_B3_d36	NA	0.2224158	0.7203416	0.0039985	0.0098275	NA	NA	NA	0.0434166	NA	NA	NA
GF4_B3_d37	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C1_d36	NA	0.9632831	0.0367169	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF4_C1_D37	NA	0.3081675	0.1572958	0.1432519	0.1656397	NA	0.2256451	NA	NA	NA	NA	NA
GF4_C2_D36	0.129418712941871	0.109331510933151	0.527536252753625	0.0597408059740806	NA	NA	0.173972717397272	NA	NA	NA	NA	NA
GF4_C2_d37	0.288372428837243	0.105288010528801	0.104387810438781	0.179866917986692	0.162825716282572	NA	0.150951015095102	NA	NA	0.00830810083081008	NA	NA
GF4_C3_d36	NA	0.7060499	0.0808023	0.1836134	0.0257581	NA	NA	NA	0.0037763	NA	NA	NA
GF4_C4_d36	0.0025594	0.0803505	0.8934576	NA	0.0015846	NA	NA	0.0007188	0.0213291	NA	NA	NA
GF4_C4_d37	0.2203941	0.0526475	0.4041465	0.1015021	0.1491772	NA	0.0721326	NA	NA	NA	NA	NA
GF5_A1_D47	0.250502974949703	0.237583776241622	0.0324732967526703	0.237135476286452	0.096813490318651	0.0215792978420702	0.0380094961990504	0.0525110947488905	0.0095730990426901	0.0238179976182002	NA	NA
GF5_A1_D48	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF5_A1_D80	NA	0.99430710056929	0.00276179972382003	NA	NA	NA	NA	NA	0.00293109970689003	NA	NA	NA
GF5_A1_D81	NA	0.9442195	0.0185156	NA	NA	NA	0.0338916	NA	0.0033733	NA	NA	NA
GF5_A2_D48	NA	0.056353	0.0238966	0.1767926	0.0294402	NA	0.0154181	0.0020685	0.696031	NA	NA	NA
GF5_A6_D81	NA	0.8561308	0.1296479	NA	NA	NA	NA	NA	0.0142213	NA	NA	NA
GF5_A7_D80	NA	0.2230684	0.2778751	0.2970858	0.0308693	NA	NA	NA	0.1711014	NA	NA	NA
GF5_A7_D81	NA	0.0112954	0.1139413	0.7137872	NA	NA	0.0405836	NA	0.1203925	NA	NA	NA
GF5_B1_D80	NA	0.505896249410375	0.0158761984123802	0.00635749936425006	0.000471399952860005	NA	0.471398652860135	NA	NA	NA	NA	NA
GF5_B3_D81	0.0320803032080303	0.0393592039359204	0.0358245035824504	0.766656476665648	0.120488712048871	NA	NA	NA	NA	0.00559080055908006	NA	NA
GF5_B7_D80	NA	0.1114125	0.110072	0.6674415	0.057695	NA	NA	NA	0.0001591	0.0532199	NA	NA
GF5_C1_D47	0.292408629240863	0.373440337344034	0.0196302019630202	0.138375213837521	0.0339890033989003	0.0323835032383503	NA	0.0517986051798605	NA	0.0566158056615806	NA	NA
GF5_C1_D48	0.0571524	0.3464072	0.0221057	0.2142271	0.1874403	0.044921	NA	0.0008892	0.1012398	0.0256173	NA	NA
GF5_C4_D47	0.3408029	NA	0.0612645	NA	NA	NA	0.5979326	NA	NA	NA	NA	NA
GF5_C5_D47	0.0673689	NA	0.0137569	NA	NA	NA	0.8950904	NA	0.0237838	NA	NA	NA
GF6_A1_COLON_D88	0.7017089	0.0371436	0.0154785	0.1474457	0.0674076	NA	0.0308157	NA	NA	NA	NA	NA
GF6_A1_D53	0.7006003	0.0493778	0.0217776	0.1532771	0.0236339	NA	0.0377807	NA	0.012494	0.0010586	NA	NA
GF6_A3_COLON_D88	0.761197676119768	0.177978717797872	NA	0.0111500011150001	0.0447014044701404	0.00497220049722005	NA	NA	NA	NA	NA	NA
GF6_A3_D52	0.732884473288447	NA	0.149284714928472	0.0590220059022006	0.0391994039199404	NA	0.0115375011537501	NA	0.00807190080719008	NA	NA	NA
GF6_A3_D53	0.606370960637096	0.0222851022285102	0.0346347034634703	0.234946523494652	0.0395213039521304	NA	0.0160355016035502	0.0240551024055102	0.0221508022150802	NA	NA	NA
GF6_A4_D53	0.300321730032173	0.453972145397215	0.0785671078567108	0.115250611525061	0.0252405025240503	NA	NA	0.00163220016322002	0.0250157025015703	NA	NA	NA
GF6_A6_D53	0.425471842547184	0.0217907021790702	0.121282512128251	0.0523521052352105	0.0682904068290407	NA	0.294438429443843	NA	0.00913110091311009	0.00724290072429007	NA	NA
GF6_A6_D88	0.8991839	NA	0.1008161	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A8_D52	0.2181012	0.7054093	0.0764895	NA	NA	NA	NA	NA	NA	NA	NA	NA
GF6_A8_D53	0.2351399	0.0673363	0.0511683	0.393345	0.1435868	NA	NA	NA	0.0366071	0.0728166	NA	NA
